date,25,50,100,150,200,250,300,350,400,450,500,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_11,hap(y2-y1),hap(raw),avg,grade
2018-02-17,232,193,140,108,95,87,83,76,76,70,68,30.05,25.0,18.13,13.99,12.31,11.27,10.75,9.84,9.84,9.07,8.81,171997.59,5010971.209999991,223.08377431906615,4
2018-02-24,458,320,187,138,108,95,87,82,78,73,72,59.33,41.45,24.22,17.88,13.99,12.31,11.27,10.62,10.1,9.46,9.33,207918.55000000002,5251215.0,269.6738651102465,4
2018-02-25,275,193,152,119,97,92,83,77,74,71,69,35.62,25.0,19.69,15.41,12.56,11.92,10.75,9.97,9.59,9.2,8.94,307788.3600000003,4838690.73,399.20669260700424,4
2018-02-27,380,268,179,130,106,85,72,61,56,52,48,49.22,34.72,23.19,16.84,13.73,11.01,9.33,7.9,7.25,6.74,6.22,209766.41000000015,4839550.14,272.07057068741915,4
2018-03-03,303,255,194,147,128,106,90,79,69,61,53,39.25,33.03,25.13,19.04,16.58,13.73,11.66,10.23,8.94,7.9,6.87,89786.54999999999,4588399.58,116.45466926070037,4
2018-03-07,382,256,144,119,102,91,85,78,76,73,69,49.48,33.16,18.65,15.41,13.21,11.79,11.01,10.1,9.84,9.46,8.94,162803.5400000002,5835491.290000006,211.15893644617407,4
2018-03-10,286,200,137,94,74,61,57,48,43,34,25,37.05,25.91,17.75,12.18,9.59,7.9,7.38,6.22,5.57,4.4,3.24,54793.680000000124,4331482.470000002,71.06832684824919,4
2018-03-24,372,260,159,115,81,65,51,41,34,30,27,48.19,33.68,20.6,14.9,10.49,8.42,6.61,5.31,4.4,3.89,3.5,88619.00000000003,4652191.819999996,114.94033722438395,4
2018-03-26,304,198,130,100,77,60,55,51,49,48,41,39.38,25.65,16.84,12.95,9.97,7.77,7.12,6.61,6.35,6.22,5.31,78545.97999999998,4900594.960000001,101.8754604409857,4
2018-03-27,290,211,149,108,69,56,41,34,29,22,15,37.56,27.33,19.3,13.99,8.94,7.25,5.31,4.4,3.76,2.85,1.94,54972.74000000002,4341552.179999999,71.30057068741897,4
2018-03-31,103,71,51,39,34,28,25,22,19,16,13,13.34,9.2,6.61,5.05,4.4,3.63,3.24,2.85,2.46,2.07,1.68,24374.139999999992,4229306.26,31.61367055771724,1
2018-04-07,295,178,120,97,81,64,47,37,33,26,21,38.21,23.06,15.54,12.56,10.49,8.29,6.09,4.79,4.27,3.37,2.72,61055.639999999985,4582170.590000003,79.19019455252916,4
2018-04-09,302,184,68,41,24,21,14,7,6,5,5,39.12,23.83,8.81,5.31,3.11,2.72,1.81,0.91,0.78,0.65,0.65,31828.399999999965,4162215.310000005,41.281971465629006,4
2018-04-10,266,133,66,39,31,29,25,25,22,20,19,34.46,17.23,8.55,5.05,4.02,3.76,3.24,3.24,2.85,2.59,2.46,53264.37999999999,4540980.950000001,69.0847989623865,4
2018-04-12,152,76,43,31,24,18,11,7,3,2,1,19.69,9.84,5.57,4.02,3.11,2.33,1.42,0.91,0.39,0.26,0.13,21249.629999999994,4087655.6499999966,27.56112840466925,0
2018-04-13,252,150,83,48,34,23,20,16,13,11,8,32.64,19.43,10.75,6.22,4.4,2.98,2.59,2.07,1.68,1.42,1.04,32809.32000000001,4629773.489999997,42.5542412451362,4
2018-04-16,223,112,45,29,25,22,16,16,16,13,8,28.89,14.51,5.83,3.76,3.24,2.85,2.07,2.07,2.07,1.68,1.04,27740.709999999995,3957849.6399999973,35.98016861219195,0
2018-04-17,213,110,41,19,15,12,8,4,3,2,1,27.59,14.25,5.31,2.46,1.94,1.55,1.04,0.52,0.39,0.26,0.13,21781.69000000003,4146079.7699999977,28.251219195849586,1
2018-04-18,51,35,11,5,4,4,2,1,1,1,0,6.61,4.53,1.42,0.65,0.52,0.52,0.26,0.13,0.13,0.13,0.0,10184.84000000002,4003877.1899999967,13.209909208819742,0
